tick,phase,max_abs_diff,rmse_all,state_rmse_l0,state_rmse_l1,state_rmse_l2,weight_rmse_l0,weight_rmse_l1,error_rmse_l0,error_rmse_l1
130,infer,4.768371586472142e-08,8.130006078215066e-09,0.0,8.965066841861828e-13,3.769728732309794e-08,0.0,0.0,5.247548098909572e-14,9.360073839136014e-13
131,infer,4.768371586472142e-08,8.130006077422636e-09,0.0,8.595983524466289e-13,3.769728732309794e-08,0.0,0.0,3.168071014839615e-14,8.965066841861828e-13
132,infer,4.768371586472142e-08,8.130006077410693e-09,0.0,8.952207843831217e-13,3.769728732309794e-08,0.0,0.0,3.5952775769419333e-14,8.595983524466289e-13
133,infer,4.768371586472142e-08,8.130006078003493e-09,0.0,9.17711237196497e-13,3.769728732309794e-08,0.0,0.0,4.169047215566808e-14,8.952207843831217e-13
134,infer,4.768371586472142e-08,8.130006077108866e-09,0.0,8.030462792502651e-13,3.769728732309794e-08,0.0,0.0,4.417914168849526e-14,9.17711237196497e-13
135,infer,4.768371586472142e-08,8.130006074993089e-09,0.0,6.878889517030813e-13,3.769728732309794e-08,0.0,0.0,2.918984235223795e-14,8.030462792502651e-13
136,infer,4.768371586472142e-08,8.130006073868856e-09,0.0,6.696481689370054e-13,3.769728732309794e-08,0.0,0.0,2.7886608185810705e-14,6.878889517030813e-13
137,infer,4.768371586472142e-08,8.130006073419669e-09,0.0,6.283634207967901e-13,3.769728732309794e-08,0.0,0.0,2.3614077419128133e-14,6.696481689370054e-13
138,infer,4.768371586472142e-08,8.130006072864111e-09,0.0,5.927393899177927e-13,3.769728732309794e-08,0.0,0.0,2.303476328254649e-14,6.283634207967901e-13
139,infer,4.768371586472142e-08,8.130006072422838e-09,0.0,5.632878591474839e-13,3.769728732309794e-08,0.0,0.0,3.292212218280721e-14,5.927393899177927e-13
140,infer,4.768371586472142e-08,8.130006072080493e-09,0.0,5.401553764670135e-13,3.769728732309794e-08,0.0,0.0,2.695453285951995e-14,5.632878591474839e-13
141,infer,4.768371586472142e-08,8.13000607191493e-09,0.0,5.368744358323202e-13,3.769728732309794e-08,0.0,0.0,2.976426796008127e-14,5.401553764670135e-13
142,infer,4.768371586472142e-08,8.13000607169228e-09,0.0,5.028298788808838e-13,3.769728732309794e-08,0.0,0.0,3.00274557666403e-14,5.368744358323202e-13
143,infer,4.768371586472142e-08,8.130006071359233e-09,0.0,4.795603725825193e-13,3.769728732309794e-08,0.0,0.0,3.0922449200048534e-14,5.028298788808838e-13
144,infer,4.768371586472142e-08,8.130006071496595e-09,0.0,5.259390695129436e-13,3.769728732309794e-08,0.0,0.0,3.564915237875741e-14,4.795603725825193e-13
145,infer,4.768371586472142e-08,8.130006071540025e-09,0.0,4.876019958783728e-13,3.769728732309794e-08,0.0,0.0,3.198315840984211e-14,5.259390695129436e-13
146,infer,4.768371586472142e-08,8.130006071249355e-09,0.0,4.750307663871284e-13,3.769728732309794e-08,0.0,0.0,3.497218071830845e-14,4.876019958783728e-13
147,infer,4.768371586472142e-08,8.130006070993465e-09,0.0,4.396127331058974e-13,3.769728732309794e-08,0.0,0.0,3.022310409951089e-14,4.750307663871284e-13
148,infer,4.768371586472142e-08,8.130006070776752e-09,0.0,4.330883193673542e-13,3.769728732309794e-08,0.0,0.0,3.451822921832629e-14,4.396127331058974e-13
149,infer,4.768371586472142e-08,8.130006070830046e-09,0.0,4.503467927491847e-13,3.769728732309794e-08,0.0,0.0,2.957672153014539e-14,4.330883193673542e-13
150,infer,4.768371586472142e-08,8.130006070718825e-09,0.0,4.099019659524593e-13,3.769728732309794e-08,0.0,0.0,3.185193497150225e-14,4.503467927491847e-13
151,infer,4.768371586472142e-08,8.130006070642388e-09,0.0,4.3526616926876557e-13,3.769728732309794e-08,0.0,0.0,3.174731015320038e-14,4.099019659524593e-13
152,infer,4.768371586472142e-08,8.130006070767245e-09,0.0,4.3598548977311465e-13,3.769728732309794e-08,0.0,0.0,2.624536126704902e-14,4.3526616926876557e-13
153,infer,4.768371586472142e-08,8.130006070536701e-09,0.0,3.8621948388871125e-13,3.769728732309794e-08,0.0,0.0,2.6072616971483185e-14,4.3598548977311465e-13
154,infer,4.768371586472142e-08,8.13000607023696e-09,0.0,3.7126837193550097e-13,3.769728732309794e-08,0.0,0.0,2.189877571969347e-14,3.8621948388871125e-13
155,infer,4.768371586472142e-08,8.130006069981373e-09,0.0,3.2342726988417166e-13,3.769728732309794e-08,0.0,0.0,1.8056729487193837e-14,3.7126837193550097e-13
156,infer,4.768371586472142e-08,8.130006069779048e-09,0.0,3.1987027140412727e-13,3.769728732309794e-08,0.0,0.0,2.3164834827940093e-14,3.2342726988417166e-13
157,infer,4.768371586472142e-08,8.13000606976534e-09,0.0,3.198094198607288e-13,3.769728732309794e-08,0.0,0.0,2.1087421870805184e-14,3.1987027140412727e-13
158,infer,4.768371586472142e-08,8.130006069753966e-09,0.0,3.169262621010934e-13,3.769728732309794e-08,0.0,0.0,1.7144134923275307e-14,3.198094198607288e-13
159,infer,4.768371586472142e-08,8.130006069808901e-09,0.0,3.344980991669186e-13,3.769728732309794e-08,0.0,0.0,1.6795079407594772e-14,3.169262621010934e-13
160,infer,4.768371586472142e-08,8.130006069689795e-09,0.0,2.8229756293465087e-13,3.769728732309794e-08,0.0,0.0,1.3803009944655426e-14,3.344980991669186e-13
161,infer,4.768371586472142e-08,8.13000606946824e-09,0.0,2.7059207241992133e-13,3.769728732309794e-08,0.0,0.0,1.0642315022549462e-14,2.8229756293465087e-13
162,infer,4.768371586472142e-08,8.130006069392317e-09,0.0,2.5777064144650883e-13,3.769728732309794e-08,0.0,0.0,8.944444768176302e-15,2.7059207241992133e-13
163,infer,4.768371586472142e-08,8.130006069347462e-09,0.0,2.556319622290697e-13,3.769728732309794e-08,0.0,0.0,1.1079847546129684e-14,2.5777064144650883e-13
